eng_TAMsimp,qal,hif,piel,nif,hit,hsht,hof,pual
FUT,2.0,2.0,inf,inf,inf,inf,inf,inf
?PRES ~ ?PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PERF,2.0,inf,2.0,inf,inf,inf,inf,inf
?FUT ~ PAST,2.0,2.0,inf,inf,inf,inf,inf,inf
?PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,2.0,2.0,inf,inf,inf,inf,inf,inf
??VB ~ ?PAST question,2.0,2.0,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ ?PRES,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST question,inf,inf,1.0,inf,inf,inf,inf,inf
?PAST do-support ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ MOD let,inf,inf,1.0,inf,inf,inf,inf,inf
?PAST did not ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ PAST,inf,1.0,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
?MOD would ~ PAST,inf,1.0,inf,inf,inf,inf,inf,inf
?PAST did not ~ ?PAST question,inf,inf,1.0,inf,inf,inf,inf,inf
?PAST PERF ~ PAST PERF,1.0,inf,inf,inf,inf,inf,inf,inf
?MOD would,inf,inf,1.0,inf,inf,inf,inf,inf
?MOD let ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES PART,1.0,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES,inf,1.0,inf,inf,inf,inf,inf,inf
?FUT ~ ?PRES,inf,inf,inf,inf,inf,1.0,inf,inf
??VB ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES,inf,inf,1.0,inf,inf,inf,inf,inf
??VB ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
??PRES ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
??PAST ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?PAST,1.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,inf,1.0,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,inf,inf,inf,inf,1.0,inf,inf,inf
?PAST ~ PAST PERF,inf,1.0,inf,inf,inf,inf,inf,inf
MOD may,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,1.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,inf,inf,inf,inf,1.0,inf,inf,inf
MOD could ~ MOD might,inf,inf,1.0,inf,inf,inf,inf,inf
IMPV ~ PRES PART,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,inf,inf,inf,1.0,inf,inf,inf,inf
MOD would ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf
?TO INF ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf
?TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,inf,1.0,inf,inf,inf,inf
?PRES ~ FUT,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ ?VB,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,inf,inf,1.0,inf,inf,inf,inf,inf
?PAST ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,1.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
