eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PAST ~ PRES PERF,0.42,0.03,0.0,0.06,0.23,0.13,0.06,0.03,0.0,0.03,0.0
FUT ~ PRES PROG,0.29,0.1,0.0,0.19,0.19,0.06,0.13,0.03,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.2,0.07,0.13,0.2,0.13,0.07,0.07,0.1,0.0,0.03,0.0
PAST ~ PAST PERF,0.27,0.04,0.46,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.0
PAST ~ TO INF,0.12,0.38,0.19,0.06,0.25,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.17,0.08,0.0,0.17,0.08,0.5,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.25,0.08,0.25,0.33,0.0,0.0,0.0,0.0,0.08,0.0,0.0
MOD could ~ PAST,0.45,0.18,0.27,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PROG,0.18,0.0,0.09,0.18,0.45,0.0,0.09,0.0,0.0,0.0,0.0
FUT going-to ~ PRES,0.27,0.0,0.09,0.36,0.27,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.4,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
FUT ~ PRES PART,0.0,0.44,0.0,0.44,0.0,0.11,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,0.22,0.22,0.33,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.5,0.0,0.25,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0
MOD can ~ PRES,0.43,0.0,0.14,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,0.43,0.0,0.14,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.14,0.0,0.14,0.0,0.43,0.29,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.33,0.17,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0
IMPV,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0
MOD shall ~ PRES,0.4,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PROG,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
MOD should,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
MOD would,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0
MOD would ~ PAST,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
PAST ~ PRES PROG,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.0,0.0,0.0,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF PROG,0.33,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,0.33,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,0.0,0.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0
MOD can ~ TO INF,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.33,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0
MOD is to,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0
MOD was to ~ PAST,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST PROG,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PART,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PRES ~ PRES PROG keep,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
PAST ~ VB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PROG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FUT ~ PAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES PROG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MOD must,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD is to,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MOD was to,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES PART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TO INF ~ VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
